,core_freq,gpu_freq,emc_freq,num_cores,memory_growth,logical_devices,scheduler.policy,vm.swappiness,vm.vfs_cache_pressure,vm.dirty_background_ratio,vm.drop_caches,vm.nr_hugepages,vm.overcommit_ratio,vm.overcommit_memory,vm.overcommit_hugepages,kernel.sched_child_runs_first,kernel.sched_rt_runtime_us,vm.dirty_bytes,vm.dirty_background_bytes,vm.dirty_ratio,swap_memory,kernel.max_pids,kernel.sched_latency_ns,kernel.sched_nr_migrate,kernel.cpu_time_max_percent,kernel.sched_time_avg_ms,inference_time,total_energy_consumption
2223,1881600.0,1344000.0,204000000.0,4.0,0.5,2.0,1,60,100,10,0,1,60,0,1,0,950000,60,60,5,4,65536,96000000,256,100,1000,24.555290804743066,37683.0
2303,345600.0,806400.0,1866000000.0,1.0,0.9,2.0,0,100,500,80,3,2,60,0,1,0,950000,30,60,50,1,65536,24000000,256,50,1000,21.473526676786747,90286.0
1992,268800.0,192000.0,204000000.0,3.0,0.5,1.0,0,60,100,10,0,1,50,0,1,1,500000,60,60,5,4,32768,96000000,256,100,2000,8.32694832333905,39848.0
964,499200.0,2265600.0,408000000.0,2.0,0.5,1.0,0,60,100,10,3,2,50,0,2,1,500000,30,30,50,1,32768,24000000,128,100,2000,18.30225239965917,91079.0
61,960000.0,1574400.0,1866000000.0,2.0,0.9,2.0,1,100,100,80,0,1,50,0,1,1,500000,60,30,50,1,32768,24000000,128,50,2000,13.201752748055235,52052.0
184,1728000.0,806400.0,1331200000.0,1.0,0.5,2.0,1,60,500,10,0,1,50,1,2,1,950000,60,60,5,4,32768,24000000,256,100,2000,23.814826394075734,36541.0
450,576000.0,2112000.0,1065600000.0,2.0,0.5,1.0,0,60,500,80,0,2,60,0,1,0,500000,60,30,50,1,32768,96000000,256,50,1000,9.694820171010047,63695.0
459,1497600.0,960000.0,2133000000.0,4.0,0.9,2.0,0,60,100,10,3,1,60,1,1,0,500000,60,60,50,1,65536,96000000,128,50,1000,12.998805319133814,62022.0
989,1881600.0,1804800.0,600000000.0,4.0,0.9,1.0,1,60,500,80,0,2,50,0,2,1,500000,30,30,50,4,65536,24000000,128,50,2000,13.633200577053685,53875.0
136,729600.0,2035200.0,1866000000.0,1.0,0.5,1.0,0,100,100,10,0,1,50,0,2,0,950000,60,30,50,4,65536,96000000,128,100,1000,7.6466773945014825,100436.0
1722,1113600.0,883200.0,1065600000.0,1.0,0.5,2.0,1,100,500,80,0,2,50,0,1,0,950000,60,60,50,4,32768,96000000,256,100,2000,8.237778240308177,53664.0
1657,2112000.0,576000.0,800000000.0,1.0,0.9,2.0,0,60,100,10,3,2,50,0,2,1,500000,30,30,50,1,32768,24000000,128,100,2000,9.34919079621486,63722.0
957,2112000.0,883200.0,408000000.0,2.0,0.9,2.0,1,60,100,10,3,1,60,1,1,0,500000,30,30,50,4,32768,24000000,128,100,2000,6.759917557321528,54247.0
274,422400.0,1958400.0,800000000.0,4.0,0.9,2.0,0,100,100,10,0,1,60,1,2,1,950000,60,60,5,1,65536,24000000,128,100,2000,21.857565591842658,67288.0
1753,883200.0,2112000.0,600000000.0,4.0,0.9,1.0,1,100,100,80,0,1,50,0,1,1,500000,30,60,5,1,32768,24000000,256,50,1000,22.80773752578146,39310.0
1855,1574400.0,806400.0,800000000.0,2.0,0.9,2.0,0,100,100,80,3,2,50,0,1,0,950000,60,60,50,1,32768,24000000,128,100,2000,7.279836621575138,108932.0
1340,2112000.0,652800.0,408000000.0,2.0,0.5,1.0,0,60,100,80,3,1,60,0,2,0,950000,30,30,5,4,32768,96000000,256,50,2000,11.659594406278837,89724.0
544,806400.0,1344000.0,2133000000.0,4.0,0.9,2.0,1,60,100,10,3,1,50,1,1,0,950000,60,30,50,4,32768,96000000,256,50,2000,7.6207490979269625,54696.0
612,1574400.0,1804800.0,2133000000.0,3.0,0.5,1.0,0,60,100,10,0,1,50,0,1,1,500000,60,60,5,4,32768,96000000,256,100,2000,11.526812482357068,36173.0
960,1958400.0,1267200.0,665600000.0,3.0,0.5,1.0,1,100,500,80,3,1,50,0,1,1,950000,60,30,50,1,32768,96000000,128,100,2000,26.38438046081419,47021.0
1255,960000.0,576000.0,204000000.0,4.0,0.5,2.0,1,60,500,10,0,2,50,1,1,1,500000,30,60,5,1,65536,96000000,128,100,1000,7.330258509027875,52860.0
889,960000.0,1267200.0,2133000000.0,1.0,0.9,1.0,1,60,500,10,3,2,50,1,1,0,950000,60,60,5,1,32768,96000000,256,100,2000,25.456620998809296,65176.0
1466,2265600.0,1651200.0,2133000000.0,4.0,0.9,2.0,1,100,100,80,0,1,50,0,1,1,500000,30,60,5,1,32768,24000000,256,50,1000,21.304054822330013,103287.0
457,499200.0,1344000.0,1331200000.0,2.0,0.5,2.0,0,100,500,10,0,1,50,1,1,0,500000,60,30,50,4,32768,24000000,128,50,2000,8.160653658232862,95930.0
